conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.77702E+18,Sun Apr 07 16:57:16 +0000 2024,0,Kecewa ga milih zary henrik:*(,1.77702E+18,,,in,"Hatay, Türkiye",0,0,0,https://x.com/sokapdach/status/1777017810344096239,1.11285E+18,sokapdach
1.79687E+18,Sat Jun 01 11:24:48 +0000 2024,0,Tentu saja gak nglihat kan kamu bagian kaum kecewa pencawapresn Gibran. Wkwkwk,1.79687E+18,,,in,,0,0,0,https://x.com/sukmawijaya91/status/1796865475483517148,1.3833E+18,sukmawijaya91
1.80186E+18,Sat Jun 15 10:18:21 +0000 2024,28,@NagaGiny Sampai JKT48 foto bareng Gibran jujur kecewa banget sih. Tolong JOT siapapun ingatkan anak-anaknya. Silahkan klo dia mau foto + upload tapi kalian jgn upload+ jgn repost. @aokuri912 @novarowisnu @fufufuritsu dll,1.80192E+18,,NagaGiny,in,,1,7,5,https://x.com/pondra74/status/1801922184253944004,1.7106E+18,pondra74
1.75879E+18,Sat Feb 17 10:03:50 +0000 2024,2,Nggak akan kalo ada program yg dikritisi aja malah dikira nggak menerima kekalahan Kecewa sama jalannya proses pencalonan gibran aja disuruh nangis karna kekalahan Beda emang kualitas berpikirnya belum ketemu aku kerangka berpikir pendukung 02,1.75879E+18,,,in,-,0,0,0,https://x.com/Diyahsiron17/status/1758794373167522201,1612297507,Diyahsiron17
1.77501E+18,Tue Apr 02 03:54:02 +0000 2024,0,Romo ini lupa bahwa pemilih @gibran_tweet yg ada di basis Katolik di NTT memilih bukan karena dapat bansos namun karena kesejahteraan masyarakat yg mulai berubah karena pembangunan yg masif kami kecewa dgn penghiantan @Romomagnis atas kebebasan iman kami https://t.co/uPindXB0fZ,1.77501E+18,,,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://x.com/Yoenoe2022/status/1775008767169749064,1.60406E+18,Yoenoe2022
1.75996E+18,Wed Feb 21 07:32:49 +0000 2024,0,@sarjanawfh @HoliGanjar_ind @MurtadhaOne1 Yahh tolol gak paham hoax dari mana di kasih fakta bilang hoax. Mereka kecewa karena gibran ada kecenderungan mau gabung 02 mereka tau basis jokowi ini gede 01&amp;03 sakit hati makanya sampe sekarang yang di bahas MK terus padahal kalo gibran di kubu dia diem aja.,1.76021E+18,,sarjanawfh,in,"Tangerang, Indonesia",0,0,0,https://x.com/muincemott/status/1760205921018601945,3095184134,muincemott
1.75781E+18,Wed Feb 14 16:59:03 +0000 2024,0,Basis pendukung yg hilang gara2 kecewa Prabowo gabung kabinet bisa digantikan oleh die hardnya Jokowi dg cara yg unthinkable : jadiin Gibran sbg cawapres.,1.75781E+18,,,in,Tangerang Selatan,0,0,0,https://x.com/achor_mardliyan/status/1757811704799596743,231725282,achor_mardliyan
1.77109E+18,Fri Mar 22 08:06:01 +0000 2024,1,Giliran diteriaki &amp; dihujat non stop sejak hari H pemilu bahkan dituntut mundur Prabowo seakan tak bergeming &amp; membiarkan Presiden menjadi bulan-bulanan rakyat seantero negeri yg kecewa.. Tidak ada pernyataan &amp; retorika pembelaan untuk bapaknya Gibran Sorry yee ..,1.77109E+18,,,in,"St Petersburg, FL",0,0,0,https://x.com/javascript2331/status/1771085913449472290,1.00186E+18,javascript2331
1.7598E+18,Tue Feb 20 04:29:37 +0000 2024,0,#NAME?,1.7598E+18,,,in,Indonesia,0,1,0,https://x.com/taqitaqituq/status/1759797428482629678,52664789,taqitaqituq
1.77407E+18,Sat Mar 30 13:52:52 +0000 2024,7,Yang lakukan korupsi di pihak mana malah orang yang beda di hujat dan di bully sampai ada yang komen bawa-bawa Islam bawa-bawa pendukung prabowo kecewa sama dia ini dan itu memang katro yang pada komen. Yuman yemen nyatanya kebanyakan mata sipit yang korup gedean. https://t.co/lw92yqZY0m,1.77407E+18,https://pbs.twimg.com/ext_tw_video_thumb/1774072262595125248/pu/img/lfBr5WXW1XYYAYVi.jpg,,in,,0,0,2,https://x.com/Banyulangit__1/status/1774072303057604806,1.57064E+18,Banyulangit__1
1.78484E+18,Mon Apr 29 07:10:17 +0000 2024,0,Kecewa Anies Ucapkan Selamat ke Prabowo-Gibran Eggi Sudjana: Mau Berteman dengan Pencurang https://t.co/mSsYaF4bcz,1.78484E+18,https://pbs.twimg.com/ext_tw_video_thumb/1784842575452712960/pu/img/ajTk8WPNMAl7h2Xf.jpg,,in,,0,0,0,https://x.com/kalbarfyi/status/1784842625180393686,1.60077E+18,kalbarfyi
1.783E+18,Wed Apr 24 04:57:51 +0000 2024,23,Pasangan capres-cawapres no urut 03 tidak menghadiri Penetapan Prabowo - Gibran sebagai Presiden dan Wakil Presiden terpilih Lihat mukanya Wan Anus agak grogi sakit hati kecewa karena gagal menjajah Indonesia https://t.co/KCJcrB06oO,1.783E+18,https://pbs.twimg.com/ext_tw_video_thumb/1782997311448403968/pu/img/jmhS6tonqa_ZfDcc.jpg,,in,,1,20,6,https://x.com/gustavssondhela/status/1782997359578038502,1.73769E+18,gustavssondhela
1.78344E+18,Thu Apr 25 10:08:42 +0000 2024,4,Pendukung 01 kecewa karena Anus baswedan memberikan ucapan selamat kepada 02 presiden dan wakil presiden terpilih bapak prabowo subianto dan Gibran rakabuming https://t.co/gvbklXlEot,1.78344E+18,https://pbs.twimg.com/ext_tw_video_thumb/1783437770104737792/pu/img/obW6nUIPY6P09m7W.jpg,,in,,0,1,0,https://x.com/gustavssondhela/status/1783437975738831114,1.73769E+18,gustavssondhela
1.77182E+18,Sun Mar 24 08:34:49 +0000 2024,44,Relawan AMIN kecewa atas ucapan selamat Nasdem ke Prabowo https://t.co/gIDgfrzYsq,1.77182E+18,https://pbs.twimg.com/ext_tw_video_thumb/1771817760924012544/pu/img/fYkHjvUtSYJgD9hk.jpg,,in,antara ada dan tiada ,1,3,13,https://x.com/_NeverAlonely/status/1771817938560987312,1.36995E+18,_NeverAlonely
1.78636E+18,Fri May 03 11:23:57 +0000 2024,17,PRABOWO PASTI KALAH ini bukan sekedar ban serep biasa ini ban serep milik tronton yg sengaja di peruntukkan untuk ban VIOS manakala sudah pecah. jadi pendukung prabowo siap kecewa deh. https://t.co/LoqAtnajX4,1.78636E+18,https://pbs.twimg.com/media/GMppStUbsAAPTSy.jpg,,in,,0,8,4,https://x.com/zainalmusyaffak/status/1786356013534425397,1.71418E+18,zainalmusyaffak
